Bandit,Reward,Algorithm
2.0,3.274503276270774,EpsilonGreedy
2.0,0.6450641545021418,EpsilonGreedy
2.0,2.299646034221494,EpsilonGreedy
2.0,1.2675682141499909,EpsilonGreedy
2.0,2.717229045905102,EpsilonGreedy
2.0,2.32309346203051,EpsilonGreedy
2.0,2.875903752965334,EpsilonGreedy
2.0,4.559199589002424,EpsilonGreedy
2.0,3.8674843053367205,EpsilonGreedy
2.0,1.360247885314468,EpsilonGreedy
2.0,4.428402086876538,EpsilonGreedy
2.0,1.1636932515915512,EpsilonGreedy
2.0,3.4760026307316463,EpsilonGreedy
2.0,2.1256270375085604,EpsilonGreedy
0.0,0.5714992729487475,EpsilonGreedy
2.0,2.665572402741986,EpsilonGreedy
2.0,2.922707639489654,EpsilonGreedy
2.0,3.9870553692359447,EpsilonGreedy
2.0,4.054070498134417,EpsilonGreedy
2.0,3.5901558475902604,EpsilonGreedy
2.0,2.534936403130799,EpsilonGreedy
2.0,2.1399002509783465,EpsilonGreedy
3.0,5.662012024592671,EpsilonGreedy
3.0,3.4587371269615064,EpsilonGreedy
3.0,3.5292226525732704,EpsilonGreedy
3.0,4.459602479841627,EpsilonGreedy
3.0,4.279305812015509,EpsilonGreedy
3.0,4.181304646250472,EpsilonGreedy
3.0,2.4097959072957256,EpsilonGreedy
3.0,4.433247644851842,EpsilonGreedy
3.0,2.3432193785010287,EpsilonGreedy
0.0,-0.4156734233275412,EpsilonGreedy
3.0,5.606210594472808,EpsilonGreedy
3.0,3.9325018515259296,EpsilonGreedy
3.0,5.343585746320953,EpsilonGreedy
3.0,4.038870902104837,EpsilonGreedy
3.0,3.557647076316008,EpsilonGreedy
3.0,4.233212146751611,EpsilonGreedy
3.0,3.749075486245747,EpsilonGreedy
3.0,2.706526531215661,EpsilonGreedy
3.0,5.072876458594437,EpsilonGreedy
3.0,4.340940226351258,EpsilonGreedy
3.0,4.724742668702886,EpsilonGreedy
3.0,3.7968245088195425,EpsilonGreedy
3.0,2.5923496816955214,EpsilonGreedy
3.0,3.853861288067146,EpsilonGreedy
3.0,4.790505598172854,EpsilonGreedy
3.0,4.27270749682238,EpsilonGreedy
3.0,4.656360063007881,EpsilonGreedy
3.0,3.110926593473978,EpsilonGreedy
3.0,2.541662559866287,EpsilonGreedy
3.0,2.7028667614229045,EpsilonGreedy
3.0,5.235040100421946,EpsilonGreedy
3.0,3.627163451350844,EpsilonGreedy
3.0,4.269286502779139,EpsilonGreedy
3.0,3.4811481488223266,EpsilonGreedy
3.0,3.012613092921382,EpsilonGreedy
3.0,5.58805958329226,EpsilonGreedy
3.0,4.513262044991331,EpsilonGreedy
3.0,3.616556374072084,EpsilonGreedy
3.0,6.550468255006522,EpsilonGreedy
3.0,4.8779480708053935,EpsilonGreedy
3.0,2.5190810103802965,EpsilonGreedy
3.0,3.663867327318531,EpsilonGreedy
3.0,5.134735163472565,EpsilonGreedy
3.0,4.733878985531425,EpsilonGreedy
3.0,5.063231293963954,EpsilonGreedy
3.0,3.728324487094069,EpsilonGreedy
3.0,5.016092680669589,EpsilonGreedy
3.0,4.637812778414135,EpsilonGreedy
3.0,4.45626328693652,EpsilonGreedy
3.0,4.784417453532203,EpsilonGreedy
3.0,3.7382315490323426,EpsilonGreedy
3.0,2.6150977426773627,EpsilonGreedy
3.0,3.965147313399085,EpsilonGreedy
3.0,4.182473060465069,EpsilonGreedy
3.0,3.810535840164268,EpsilonGreedy
3.0,4.470829453757176,EpsilonGreedy
3.0,2.9317972121802005,EpsilonGreedy
3.0,2.5480740997822426,EpsilonGreedy
3.0,3.673163118318823,EpsilonGreedy
3.0,3.585976680734304,EpsilonGreedy
3.0,4.581892526634706,EpsilonGreedy
3.0,3.2789263613727075,EpsilonGreedy
3.0,6.303234846817192,EpsilonGreedy
3.0,3.484593578443236,EpsilonGreedy
3.0,3.3388166988848154,EpsilonGreedy
3.0,4.811372877969582,EpsilonGreedy
